"Suite name","Test name","Test number","Lsl","Lsl_typ","Usl_typ","Usl","Units","Lsl","Lsl_typ","Usl_typ","Usl","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"Test mode","","","FT","FT","FT","FT","FT","QA","QA","QA","QA","QA","","","","","","","",""
"TM_DPS_Meas_Task","static_icc","401","-0.5","GE","LE","5","uA","-0.5","GE","LE","10","uA","12","Failed_TM_DPS_Meas_Task","3","Failed_DC","bad","no","no",""
"TM_Output_DC","Vout","","3","GE","LE","5","V","3","GE","LE","5","V","10","Failed_TM_OutputDC","3","Failed_DC","bad","no","no",""
"Continuity","passVolt_mV","3","200","GE","LE","800","mV","60","GE","LE","800","mV","2","Failed_Continuity","2","Failed_Continuity","bad","no","no",""
"gross_func","Functional","50","","NA","NA","","","","NA","NA","","","4","Failed_Functional","4","Failed_Functional","bad","no","no",""
"Leakage","passCurrentLow_uA","100","-10","GE","LE","10","nA","-100","GE","LE","100","uA","6","Failed_IIL","6","Failed_Leakage","bad","no","yes",""
"Leakage","passCurrentHigh_uA","150","-10","GE","LE","10","nA","-100","GE","LE","100","uA","7","Failed_IIH","6","Failed_Leakage","bad","no","yes",""
"Leakage","FUNCTION TEST Low","200","","NA","NA","","","","NA","NA","","","6","","6","","bad","no","yes",""
"Leakage","FUNCTION TEST High","250","","NA","NA","","","","NA","NA","","","7","","6","","bad","no","yes",""
"TM_Gross_Funct","Functional","300","","NA","NA","","","","NA","NA","","","8","Failed_TM_Functional","4","Failed_Functional","bad","no","no",""
"Std_Output_Levels","OutputDC_LowLevel[V]","550","0","GE","LE","0.8","V","0","GE","LE","0.8","V","14","Failed_Std_Output_Levels","5","Characterization","bad","no","no",""
"Std_Output_Levels","OutputDC_HighLevel[V]","600","3.5","GE","LE","5","V","3.5","GE","LE","5","V","15","Failed_Std_Output_Levels","5","Characterization","bad","no","no",""
"Std_Output_Levels","FunctionTest","650","","NA","NA","","","","NA","NA","","","16","Failed_Functional","4","Failed_Functional","bad","no","no",""
"Std_PropDelay","Parametric_SpecSearch","700","4","GE","LE","8","ns","2","GE","LE","10","ns","17","Failed_Prop_Delay","5","Characterization","bad","no","no",""
"Std_PropDelay","Parametric_Functional","750","4","GE","LE","8","ns","2","GE","LE","10","ns","18","Failed_Prop_Delay","5","Characterization","bad","no","no",""
"Std_SpecSearch","SpecSearch_Test","800","4","GE","LE","8","ns","2","GE","LE","10","ns","19","Failed_SpecSearch","5","Characterization","bad","no","no",""
