"Suite name","Test name","Test number","Lsl","Lsl_typ","Usl_typ","Usl","Units","Lsl","Lsl_typ","Usl_typ","Usl","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"Test mode","","","FT","FT","FT","FT","FT","QA","QA","QA","QA","QA","","","","","","","",""
"Continuity","passVolt_mV","10","200","GE","LE","800","mV","200","GE","LE","800","mV","2","Failed_Continuity","2","Failed_Continuity","bad","no","no",""
"gross_func","Functional","20","","NA","NA","","","","NA","NA","","","4","Failed_Functional","4","Failed_Functional","bad","no","no",""
"Leakage","passCurrentLow_uA","30","-100","GE","LE","100","uA","-100","GE","LE","100","uA","6","Failed_IIL","6","Failed_Leakage","bad","no","no",""
"Leakage","passCurrentHigh_uA","31","-100","GE","LE","100","uA","-100","GE","LE","100","uA","7","Failed_IIH","6","Failed_Leakage","bad","no","no",""
"Leakage","FUNCTION TEST Low","32","","NA","NA","","","","NA","NA","","","6","","6","","bad","no","no",""
"Leakage","FUNCTION TEST High","33","","NA","NA","","","","NA","NA","","","6","","6","","bad","no","no",""
"TM_Gross_Funct","Functional","40","","NA","NA","","","","NA","NA","","","8","Failed_TM_Functional","4","Failed_Functional","bad","no","no",""
"TM_Output_DC","Vout","50","3","GE","LE","5","V","3","GE","LE","5","V","10","Failed_TM_OutputDC","4","Failed_OutputDC","bad","no","no",""
"TM_DPS_Meas_Task","static_icc","60","-0.5","GE","LE","5","uA","-0.5","GE","LE","5","uA","12","Failed_TM_DPS_Meas_Task","4","Failed_DPS_Meas_Task","bad","no","no",""
"Std_Output_Levels","OutputDC_LowLevel[V]","70","0","GE","LE","0.8","V","0","GE","LE","0.8","V","14","Failed_Std_Output_Levels","5","Characterization","bad","no","no",""
"Std_Output_Levels","OutputDC_HighLevel[V]","71","3.5","GE","LE","5","V","3.5","GE","LE","5","V","14","Failed_Std_Output_Levels","5","Characterization","bad","no","no",""
"Std_Output_Levels","FunctionTest","72","","NA","NA","","","","NA","NA","","","14","Failed_Functional","4","Failed_Functional","bad","no","no",""
"Std_PropDelay","Parametric_SpecSearch","80","2","GE","LE","8","ns","2","GE","LE","8","ns","16","Failed_Prop_Delay","5","Characterization","bad","no","no",""
"Std_PropDelay","Parametric_Functional","81","2","GE","LE","8","ns","2","GE","LE","8","ns","16","Failed_Prop_Delay","5","Characterization","bad","no","no",""
"RDI_Functional","funcTest1","90","","NA","NA","","","","NA","NA","","","18","Failed_RDI_Func1","4","Failed_RDI_Func","bad","no","no",""
"RDI_Functional","funcTest2","91","","NA","NA","","","","NA","NA","","","19","Failed_RDI_Func2","4","Failed_RDI_Func","bad","no","no",""
"DC_Measures_RDI","V_I/O3","95","3","GE","LE","5","V","3","GE","LE","5","V","20","Failed_RDI_V_I/O3","4","Failed_RDI_Vout","bad","no","no",""
"DC_Measures_RDI","V_I/O1","96","3","GE","LE","5","V","3","GE","LE","5","V","21","Failed_RDI_V_I/O1","4","Failed_RDI_Vout","bad","no","no",""
"DC_Idd_RDI","dps_param","97","-0.5","GE","LE","5","uA","-0.5","GE","LE","5","uA","22","Failed_RDI_DPS_Meas","4","Failed_RDI_DPS_Meas","bad","no","no",""
